Category: All categories

Week,accuweather: (Worldwide)
2019-08-25,99
2019-09-01,100
2019-09-08,94
2019-09-15,82
2019-09-22,88
2019-09-29,97
2019-10-06,88
2019-10-13,79
2019-10-20,87
2019-10-27,96
2019-11-03,86
2019-11-10,86
2019-11-17,75
2019-11-24,84
2019-12-01,84
2019-12-08,82
2019-12-15,86
2019-12-22,79
2019-12-29,91
2020-01-05,91
2020-01-12,100
2020-01-19,78
2020-01-26,70
2020-02-02,88
2020-02-09,84
2020-02-16,78
2020-02-23,79
2020-03-01,73
2020-03-08,68
2020-03-15,53
2020-03-22,51
2020-03-29,51
2020-04-05,57
2020-04-12,59
2020-04-19,60
2020-04-26,63
2020-05-03,59
2020-05-10,66
2020-05-17,75
2020-05-24,82
2020-05-31,82
2020-06-07,78
2020-06-14,79
2020-06-21,87
2020-06-28,83
2020-07-05,94
2020-07-12,75
2020-07-19,83
2020-07-26,82
2020-08-02,86
2020-08-09,85
2020-08-16,75
2020-08-23,89
2020-08-30,71
2020-09-06,68
2020-09-13,64
2020-09-20,60
2020-09-27,60
2020-10-04,59
2020-10-11,60
2020-10-18,62
2020-10-25,60
2020-11-01,42
2020-11-08,53
2020-11-15,50
2020-11-22,54
2020-11-29,53
2020-12-06,50
2020-12-13,70
2020-12-20,60
2020-12-27,70
2021-01-03,59
2021-01-10,65
2021-01-17,58
2021-01-24,78
2021-01-31,81
2021-02-07,95
2021-02-14,92
2021-02-21,54
2021-02-28,49
2021-03-07,52
2021-03-14,58
2021-03-21,64
2021-03-28,59
2021-04-04,64
2021-04-11,60
2021-04-18,64
2021-04-25,67
2021-05-02,73
2021-05-09,68
2021-05-16,79
2021-05-23,80
2021-05-30,73
2021-06-06,80
2021-06-13,80
2021-06-20,94
2021-06-27,91
2021-07-04,91
2021-07-11,89
2021-07-18,83
2021-07-25,87
2021-08-01,74
2021-08-08,81
2021-08-15,79
2021-08-22,81
2021-08-29,82
2021-09-05,66
2021-09-12,70
2021-09-19,65
2021-09-26,62
2021-10-03,65
2021-10-10,70
2021-10-17,59
2021-10-24,69
2021-10-31,53
2021-11-07,55
2021-11-14,55
2021-11-21,55
2021-11-28,56
2021-12-05,70
2021-12-12,65
2021-12-19,61
2021-12-26,75
2022-01-02,82
2022-01-09,69
2022-01-16,76
2022-01-23,72
2022-01-30,84
2022-02-06,51
2022-02-13,60
2022-02-20,66
2022-02-27,54
2022-03-06,70
2022-03-13,58
2022-03-20,59
2022-03-27,59
2022-04-03,65
2022-04-10,72
2022-04-17,62
2022-04-24,63
2022-05-01,65
2022-05-08,61
2022-05-15,77
2022-05-22,78
2022-05-29,70
2022-06-05,73
2022-06-12,80
2022-06-19,74
2022-06-26,81
2022-07-03,89
2022-07-10,79
2022-07-17,79
2022-07-24,78
2022-07-31,71
2022-08-07,75
2022-08-14,79
2022-08-21,71
2022-08-28,67
2022-09-04,66
2022-09-11,61
2022-09-18,65
2022-09-25,71
2022-10-02,52
2022-10-09,56
2022-10-16,54
2022-10-23,54
2022-10-30,56
2022-11-06,60
2022-11-13,59
2022-11-20,48
2022-11-27,52
2022-12-04,57
2022-12-11,71
2022-12-18,83
2022-12-25,61
2023-01-01,61
2023-01-08,61
2023-01-15,66
2023-01-22,74
2023-01-29,61
2023-02-05,55
2023-02-12,56
2023-02-19,64
2023-02-26,67
2023-03-05,59
2023-03-12,66
2023-03-19,64
2023-03-26,68
2023-04-02,73
2023-04-09,63
2023-04-16,66
2023-04-23,71
2023-04-30,66
2023-05-07,73
2023-05-14,73
2023-05-21,63
2023-05-28,71
2023-06-04,69
2023-06-11,82
2023-06-18,81
2023-06-25,81
2023-07-02,83
2023-07-09,83
2023-07-16,81
2023-07-23,87
2023-07-30,71
2023-08-06,77
2023-08-13,69
2023-08-20,72
2023-08-27,70
2023-09-03,66
2023-09-10,65
2023-09-17,62
2023-09-24,57
2023-10-01,54
2023-10-08,59
2023-10-15,57
2023-10-22,54
2023-10-29,53
2023-11-05,49
2023-11-12,51
2023-11-19,50
2023-11-26,59
2023-12-03,54
2023-12-10,52
2023-12-17,49
2023-12-24,51
2023-12-31,65
2024-01-07,88
2024-01-14,80
2024-01-21,59
2024-01-28,46
2024-02-04,47
2024-02-11,52
2024-02-18,42
2024-02-25,50
2024-03-03,49
2024-03-10,48
2024-03-17,53
2024-03-24,52
2024-03-31,55
2024-04-07,52
2024-04-14,56
2024-04-21,51
2024-04-28,60
2024-05-05,64
2024-05-12,61
2024-05-19,67
2024-05-26,63
2024-06-02,56
2024-06-09,60
2024-06-16,65
2024-06-23,63
2024-06-30,67
2024-07-07,63
2024-07-14,65
2024-07-21,59
2024-07-28,62
2024-08-04,58
2024-08-11,56
2024-08-18,52
2024-08-25,57
