Category: All categories

Week,aliexpress: (Worldwide)
2019-08-25,72
2019-09-01,63
2019-09-08,64
2019-09-15,63
2019-09-22,72
2019-09-29,63
2019-10-06,61
2019-10-13,65
2019-10-20,67
2019-10-27,67
2019-11-03,74
2019-11-10,100
2019-11-17,73
2019-11-24,78
2019-12-01,72
2019-12-08,64
2019-12-15,64
2019-12-22,62
2019-12-29,66
2020-01-05,73
2020-01-12,70
2020-01-19,68
2020-01-26,63
2020-02-02,58
2020-02-09,55
2020-02-16,54
2020-02-23,49
2020-03-01,51
2020-03-08,44
2020-03-15,37
2020-03-22,42
2020-03-29,49
2020-04-05,50
2020-04-12,54
2020-04-19,56
2020-04-26,60
2020-05-03,59
2020-05-10,57
2020-05-17,56
2020-05-24,55
2020-05-31,54
2020-06-07,54
2020-06-14,57
2020-06-21,55
2020-06-28,56
2020-07-05,51
2020-07-12,51
2020-07-19,52
2020-07-26,52
2020-08-02,50
2020-08-09,52
2020-08-16,53
2020-08-23,56
2020-08-30,51
2020-09-06,54
2020-09-13,51
2020-09-20,51
2020-09-27,50
2020-10-04,49
2020-10-11,51
2020-10-18,52
2020-10-25,49
2020-11-01,52
2020-11-08,81
2020-11-15,57
2020-11-22,66
2020-11-29,56
2020-12-06,55
2020-12-13,50
2020-12-20,51
2020-12-27,58
2021-01-03,60
2021-01-10,60
2021-01-17,61
2021-01-24,58
2021-01-31,59
2021-02-07,56
2021-02-14,54
2021-02-21,54
2021-02-28,56
2021-03-07,53
2021-03-14,54
2021-03-21,56
2021-03-28,62
2021-04-04,55
2021-04-11,54
2021-04-18,53
2021-04-25,51
2021-05-02,51
2021-05-09,48
2021-05-16,49
2021-05-23,50
2021-05-30,48
2021-06-06,47
2021-06-13,44
2021-06-20,47
2021-06-27,43
2021-07-04,45
2021-07-11,43
2021-07-18,43
2021-07-25,41
2021-08-01,41
2021-08-08,41
2021-08-15,41
2021-08-22,44
2021-08-29,43
2021-09-05,41
2021-09-12,42
2021-09-19,40
2021-09-26,43
2021-10-03,40
2021-10-10,42
2021-10-17,42
2021-10-24,40
2021-10-31,45
2021-11-07,63
2021-11-14,44
2021-11-21,52
2021-11-28,45
2021-12-05,44
2021-12-12,40
2021-12-19,37
2021-12-26,44
2022-01-02,58
2022-01-09,56
2022-01-16,51
2022-01-23,54
2022-01-30,54
2022-02-06,52
2022-02-13,53
2022-02-20,50
2022-02-27,49
2022-03-06,51
2022-03-13,51
2022-03-20,49
2022-03-27,52
2022-04-03,52
2022-04-10,49
2022-04-17,48
2022-04-24,47
2022-05-01,47
2022-05-08,47
2022-05-15,44
2022-05-22,47
2022-05-29,45
2022-06-05,44
2022-06-12,45
2022-06-19,47
2022-06-26,45
2022-07-03,47
2022-07-10,43
2022-07-17,46
2022-07-24,47
2022-07-31,48
2022-08-07,47
2022-08-14,52
2022-08-21,51
2022-08-28,46
2022-09-04,47
2022-09-11,47
2022-09-18,47
2022-09-25,46
2022-10-02,48
2022-10-09,49
2022-10-16,45
2022-10-23,47
2022-10-30,51
2022-11-06,57
2022-11-13,54
2022-11-20,51
2022-11-27,49
2022-12-04,47
2022-12-11,45
2022-12-18,41
2022-12-25,50
2023-01-01,54
2023-01-08,52
2023-01-15,54
2023-01-22,51
2023-01-29,50
2023-02-05,51
2023-02-12,46
2023-02-19,52
2023-02-26,50
2023-03-05,51
2023-03-12,47
2023-03-19,55
2023-03-26,50
2023-04-02,49
2023-04-09,49
2023-04-16,49
2023-04-23,50
2023-04-30,51
2023-05-07,48
2023-05-14,51
2023-05-21,46
2023-05-28,48
2023-06-04,50
2023-06-11,50
2023-06-18,49
2023-06-25,48
2023-07-02,51
2023-07-09,51
2023-07-16,49
2023-07-23,51
2023-07-30,51
2023-08-06,50
2023-08-13,48
2023-08-20,52
2023-08-27,51
2023-09-03,50
2023-09-10,46
2023-09-17,48
2023-09-24,48
2023-10-01,49
2023-10-08,48
2023-10-15,53
2023-10-22,49
2023-10-29,49
2023-11-05,57
2023-11-12,61
2023-11-19,55
2023-11-26,57
2023-12-03,52
2023-12-10,48
2023-12-17,49
2023-12-24,51
2023-12-31,56
2024-01-07,57
2024-01-14,53
2024-01-21,50
2024-01-28,50
2024-02-04,50
2024-02-11,48
2024-02-18,48
2024-02-25,48
2024-03-03,48
2024-03-10,45
2024-03-17,49
2024-03-24,55
2024-03-31,51
2024-04-07,48
2024-04-14,49
2024-04-21,47
2024-04-28,47
2024-05-05,47
2024-05-12,44
2024-05-19,47
2024-05-26,53
2024-06-02,50
2024-06-09,47
2024-06-16,50
2024-06-23,49
2024-06-30,49
2024-07-07,50
2024-07-14,48
2024-07-21,50
2024-07-28,44
2024-08-04,46
2024-08-11,48
2024-08-18,50
2024-08-25,49
