Category: All categories

Week,amazon: (Worldwide)
2019-08-25,64
2019-09-01,60
2019-09-08,62
2019-09-15,62
2019-09-22,60
2019-09-29,67
2019-10-06,63
2019-10-13,67
2019-10-20,65
2019-10-27,66
2019-11-03,68
2019-11-10,73
2019-11-17,85
2019-11-24,100
2019-12-01,93
2019-12-08,88
2019-12-15,89
2019-12-22,77
2019-12-29,72
2020-01-05,71
2020-01-12,65
2020-01-19,67
2020-01-26,64
2020-02-02,64
2020-02-09,62
2020-02-16,64
2020-02-23,64
2020-03-01,66
2020-03-08,62
2020-03-15,77
2020-03-22,78
2020-03-29,86
2020-04-05,86
2020-04-12,86
2020-04-19,87
2020-04-26,88
2020-05-03,84
2020-05-10,85
2020-05-17,85
2020-05-24,81
2020-05-31,82
2020-06-07,78
2020-06-14,75
2020-06-21,76
2020-06-28,77
2020-07-05,77
2020-07-12,79
2020-07-19,75
2020-07-26,80
2020-08-02,76
2020-08-09,73
2020-08-16,76
2020-08-23,70
2020-08-30,72
2020-09-06,71
2020-09-13,70
2020-09-20,68
2020-09-27,72
2020-10-04,75
2020-10-11,86
2020-10-18,74
2020-10-25,76
2020-11-01,74
2020-11-08,81
2020-11-15,87
2020-11-22,97
2020-11-29,94
2020-12-06,95
2020-12-13,89
2020-12-20,86
2020-12-27,83
2021-01-03,76
2021-01-10,74
2021-01-17,76
2021-01-24,71
2021-01-31,72
2021-02-07,68
2021-02-14,68
2021-02-21,66
2021-02-28,67
2021-03-07,66
2021-03-14,65
2021-03-21,69
2021-03-28,71
2021-04-04,66
2021-04-11,66
2021-04-18,65
2021-04-25,67
2021-05-02,66
2021-05-09,66
2021-05-16,63
2021-05-23,63
2021-05-30,62
2021-06-06,63
2021-06-13,62
2021-06-20,74
2021-06-27,61
2021-07-04,59
2021-07-11,62
2021-07-18,63
2021-07-25,62
2021-08-01,62
2021-08-08,58
2021-08-15,60
2021-08-22,62
2021-08-29,62
2021-09-05,64
2021-09-12,62
2021-09-19,62
2021-09-26,60
2021-10-03,65
2021-10-10,62
2021-10-17,63
2021-10-24,64
2021-10-31,63
2021-11-07,68
2021-11-14,70
2021-11-21,80
2021-11-28,77
2021-12-05,77
2021-12-12,77
2021-12-19,71
2021-12-26,68
2022-01-02,73
2022-01-09,71
2022-01-16,65
2022-01-23,66
2022-01-30,67
2022-02-06,63
2022-02-13,61
2022-02-20,63
2022-02-27,60
2022-03-06,61
2022-03-13,59
2022-03-20,58
2022-03-27,60
2022-04-03,58
2022-04-10,59
2022-04-17,58
2022-04-24,62
2022-05-01,61
2022-05-08,57
2022-05-15,55
2022-05-22,61
2022-05-29,58
2022-06-05,62
2022-06-12,63
2022-06-19,63
2022-06-26,61
2022-07-03,65
2022-07-10,78
2022-07-17,66
2022-07-24,63
2022-07-31,62
2022-08-07,63
2022-08-14,63
2022-08-21,64
2022-08-28,64
2022-09-04,59
2022-09-11,62
2022-09-18,66
2022-09-25,65
2022-10-02,67
2022-10-09,71
2022-10-16,64
2022-10-23,64
2022-10-30,63
2022-11-06,67
2022-11-13,74
2022-11-20,79
2022-11-27,74
2022-12-04,74
2022-12-11,77
2022-12-18,72
2022-12-25,72
2023-01-01,67
2023-01-08,66
2023-01-15,67
2023-01-22,64
2023-01-29,62
2023-02-05,60
2023-02-12,58
2023-02-19,58
2023-02-26,60
2023-03-05,60
2023-03-12,57
2023-03-19,60
2023-03-26,60
2023-04-02,58
2023-04-09,60
2023-04-16,57
2023-04-23,59
2023-04-30,60
2023-05-07,59
2023-05-14,56
2023-05-21,59
2023-05-28,59
2023-06-04,62
2023-06-11,62
2023-06-18,60
2023-06-25,60
2023-07-02,64
2023-07-09,80
2023-07-16,67
2023-07-23,60
2023-07-30,62
2023-08-06,62
2023-08-13,63
2023-08-20,60
2023-08-27,61
2023-09-03,59
2023-09-10,59
2023-09-17,58
2023-09-24,57
2023-10-01,64
2023-10-08,73
2023-10-15,63
2023-10-22,60
2023-10-29,61
2023-11-05,66
2023-11-12,69
2023-11-19,79
2023-11-26,77
2023-12-03,74
2023-12-10,76
2023-12-17,70
2023-12-24,63
2023-12-31,65
2024-01-07,59
2024-01-14,58
2024-01-21,57
2024-01-28,58
2024-02-04,58
2024-02-11,54
2024-02-18,54
2024-02-25,54
2024-03-03,56
2024-03-10,53
2024-03-17,56
2024-03-24,54
2024-03-31,56
2024-04-07,55
2024-04-14,55
2024-04-21,54
2024-04-28,57
2024-05-05,56
2024-05-12,54
2024-05-19,54
2024-05-26,56
2024-06-02,55
2024-06-09,56
2024-06-16,55
2024-06-23,54
2024-06-30,55
2024-07-07,58
2024-07-14,74
2024-07-21,59
2024-07-28,54
2024-08-04,56
2024-08-11,57
2024-08-18,54
2024-08-25,57
