Category: All categories

Week,espn: (Worldwide)
2019-08-25,83
2019-09-01,100
2019-09-08,94
2019-09-15,82
2019-09-22,80
2019-09-29,78
2019-10-06,79
2019-10-13,79
2019-10-20,83
2019-10-27,84
2019-11-03,78
2019-11-10,80
2019-11-17,76
2019-11-24,77
2019-12-01,74
2019-12-08,74
2019-12-15,72
2019-12-22,74
2019-12-29,85
2020-01-05,68
2020-01-12,77
2020-01-19,70
2020-01-26,67
2020-02-02,61
2020-02-09,50
2020-02-16,53
2020-02-23,54
2020-03-01,52
2020-03-08,51
2020-03-15,35
2020-03-22,23
2020-03-29,21
2020-04-05,19
2020-04-12,20
2020-04-19,36
2020-04-26,22
2020-05-03,21
2020-05-10,22
2020-05-17,20
2020-05-24,19
2020-05-31,18
2020-06-07,20
2020-06-14,22
2020-06-21,23
2020-06-28,24
2020-07-05,27
2020-07-12,29
2020-07-19,33
2020-07-26,41
2020-08-02,46
2020-08-09,46
2020-08-16,52
2020-08-23,54
2020-08-30,56
2020-09-06,69
2020-09-13,67
2020-09-20,63
2020-09-27,66
2020-10-04,65
2020-10-11,63
2020-10-18,61
2020-10-25,52
2020-11-01,43
2020-11-08,46
2020-11-15,47
2020-11-22,53
2020-11-29,50
2020-12-06,54
2020-12-13,51
2020-12-20,60
2020-12-27,68
2021-01-03,53
2021-01-10,58
2021-01-17,52
2021-01-24,51
2021-01-31,41
2021-02-07,47
2021-02-14,40
2021-02-21,42
2021-02-28,41
2021-03-07,45
2021-03-14,55
2021-03-21,51
2021-03-28,54
2021-04-04,52
2021-04-11,45
2021-04-18,46
2021-04-25,56
2021-05-02,45
2021-05-09,47
2021-05-16,49
2021-05-23,54
2021-05-30,50
2021-06-06,56
2021-06-13,52
2021-06-20,53
2021-06-27,51
2021-07-04,48
2021-07-11,45
2021-07-18,44
2021-07-25,43
2021-08-01,45
2021-08-08,43
2021-08-15,44
2021-08-22,51
2021-08-29,60
2021-09-05,66
2021-09-12,64
2021-09-19,63
2021-09-26,65
2021-10-03,66
2021-10-10,69
2021-10-17,71
2021-10-24,67
2021-10-31,65
2021-11-07,62
2021-11-14,60
2021-11-21,65
2021-11-28,63
2021-12-05,62
2021-12-12,63
2021-12-19,60
2021-12-26,68
2022-01-02,52
2022-01-09,54
2022-01-16,46
2022-01-23,50
2022-01-30,44
2022-02-06,41
2022-02-13,40
2022-02-20,33
2022-02-27,36
2022-03-06,44
2022-03-13,63
2022-03-20,52
2022-03-27,40
2022-04-03,48
2022-04-10,45
2022-04-17,45
2022-04-24,53
2022-05-01,47
2022-05-08,50
2022-05-15,45
2022-05-22,48
2022-05-29,42
2022-06-05,43
2022-06-12,42
2022-06-19,37
2022-06-26,37
2022-07-03,40
2022-07-10,37
2022-07-17,33
2022-07-24,35
2022-07-31,38
2022-08-07,40
2022-08-14,44
2022-08-21,46
2022-08-28,59
2022-09-04,65
2022-09-11,60
2022-09-18,60
2022-09-25,57
2022-10-02,58
2022-10-09,60
2022-10-16,63
2022-10-23,60
2022-10-30,61
2022-11-06,53
2022-11-13,51
2022-11-20,59
2022-11-27,56
2022-12-04,52
2022-12-11,48
2022-12-18,49
2022-12-25,52
2023-01-01,60
2023-01-08,51
2023-01-15,52
2023-01-22,44
2023-01-29,41
2023-02-05,42
2023-02-12,44
2023-02-19,34
2023-02-26,44
2023-03-05,44
2023-03-12,65
2023-03-19,53
2023-03-26,46
2023-04-02,51
2023-04-09,45
2023-04-16,53
2023-04-23,58
2023-04-30,53
2023-05-07,52
2023-05-14,48
2023-05-21,45
2023-05-28,41
2023-06-04,45
2023-06-11,38
2023-06-18,37
2023-06-25,40
2023-07-02,42
2023-07-09,33
2023-07-16,36
2023-07-23,37
2023-07-30,41
2023-08-06,42
2023-08-13,40
2023-08-20,45
2023-08-27,61
2023-09-03,67
2023-09-10,61
2023-09-17,61
2023-09-24,59
2023-10-01,55
2023-10-08,58
2023-10-15,55
2023-10-22,59
2023-10-29,59
2023-11-05,55
2023-11-12,56
2023-11-19,58
2023-11-26,53
2023-12-03,54
2023-12-10,50
2023-12-17,50
2023-12-24,57
2023-12-31,57
2024-01-07,53
2024-01-14,53
2024-01-21,46
2024-01-28,39
2024-02-04,37
2024-02-11,38
2024-02-18,32
2024-02-25,34
2024-03-03,40
2024-03-10,42
2024-03-17,63
2024-03-24,51
2024-03-31,53
2024-04-07,50
2024-04-14,42
2024-04-21,50
2024-04-28,47
2024-05-05,44
2024-05-12,46
2024-05-19,42
2024-05-26,40
2024-06-02,35
2024-06-09,42
2024-06-16,38
2024-06-23,40
2024-06-30,37
2024-07-07,35
2024-07-14,32
2024-07-21,32
2024-07-28,35
2024-08-04,35
2024-08-11,36
2024-08-18,42
2024-08-25,48
