Category: All categories

Week,facebook: (Worldwide)
2019-08-25,99
2019-09-01,93
2019-09-08,95
2019-09-15,95
2019-09-22,90
2019-09-29,94
2019-10-06,95
2019-10-13,96
2019-10-20,93
2019-10-27,92
2019-11-03,90
2019-11-10,93
2019-11-17,95
2019-11-24,93
2019-12-01,90
2019-12-08,93
2019-12-15,99
2019-12-22,96
2019-12-29,93
2020-01-05,90
2020-01-12,89
2020-01-19,91
2020-01-26,92
2020-02-02,87
2020-02-09,88
2020-02-16,88
2020-02-23,88
2020-03-01,92
2020-03-08,88
2020-03-15,98
2020-03-22,99
2020-03-29,96
2020-04-05,100
2020-04-12,93
2020-04-19,98
2020-04-26,94
2020-05-03,92
2020-05-10,90
2020-05-17,88
2020-05-24,86
2020-05-31,91
2020-06-07,88
2020-06-14,85
2020-06-21,90
2020-06-28,90
2020-07-05,88
2020-07-12,87
2020-07-19,84
2020-07-26,83
2020-08-02,86
2020-08-09,86
2020-08-16,83
2020-08-23,83
2020-08-30,86
2020-09-06,82
2020-09-13,82
2020-09-20,82
2020-09-27,78
2020-10-04,81
2020-10-11,81
2020-10-18,81
2020-10-25,78
2020-11-01,75
2020-11-08,77
2020-11-15,78
2020-11-22,77
2020-11-29,77
2020-12-06,79
2020-12-13,76
2020-12-20,76
2020-12-27,82
2021-01-03,75
2021-01-10,75
2021-01-17,73
2021-01-24,72
2021-01-31,73
2021-02-07,71
2021-02-14,74
2021-02-21,71
2021-02-28,68
2021-03-07,70
2021-03-14,71
2021-03-21,71
2021-03-28,71
2021-04-04,73
2021-04-11,72
2021-04-18,71
2021-04-25,67
2021-05-02,67
2021-05-09,70
2021-05-16,71
2021-05-23,70
2021-05-30,69
2021-06-06,68
2021-06-13,68
2021-06-20,69
2021-06-27,67
2021-07-04,65
2021-07-11,70
2021-07-18,68
2021-07-25,69
2021-08-01,66
2021-08-08,64
2021-08-15,64
2021-08-22,64
2021-08-29,65
2021-09-05,66
2021-09-12,65
2021-09-19,64
2021-09-26,64
2021-10-03,83
2021-10-10,64
2021-10-17,65
2021-10-24,62
2021-10-31,66
2021-11-07,62
2021-11-14,63
2021-11-21,57
2021-11-28,60
2021-12-05,63
2021-12-12,62
2021-12-19,62
2021-12-26,63
2022-01-02,58
2022-01-09,56
2022-01-16,55
2022-01-23,53
2022-01-30,58
2022-02-06,55
2022-02-13,54
2022-02-20,56
2022-02-27,55
2022-03-06,54
2022-03-13,54
2022-03-20,54
2022-03-27,55
2022-04-03,53
2022-04-10,55
2022-04-17,53
2022-04-24,53
2022-05-01,55
2022-05-08,56
2022-05-15,54
2022-05-22,56
2022-05-29,54
2022-06-05,55
2022-06-12,56
2022-06-19,59
2022-06-26,58
2022-07-03,56
2022-07-10,57
2022-07-17,55
2022-07-24,53
2022-07-31,53
2022-08-07,58
2022-08-14,57
2022-08-21,55
2022-08-28,52
2022-09-04,56
2022-09-11,53
2022-09-18,54
2022-09-25,53
2022-10-02,54
2022-10-09,53
2022-10-16,50
2022-10-23,52
2022-10-30,53
2022-11-06,49
2022-11-13,54
2022-11-20,48
2022-11-27,47
2022-12-04,47
2022-12-11,48
2022-12-18,50
2022-12-25,52
2023-01-01,51
2023-01-08,51
2023-01-15,49
2023-01-22,51
2023-01-29,49
2023-02-05,53
2023-02-12,52
2023-02-19,53
2023-02-26,49
2023-03-05,50
2023-03-12,48
2023-03-19,47
2023-03-26,49
2023-04-02,48
2023-04-09,50
2023-04-16,50
2023-04-23,50
2023-04-30,51
2023-05-07,49
2023-05-14,48
2023-05-21,50
2023-05-28,50
2023-06-04,49
2023-06-11,51
2023-06-18,48
2023-06-25,48
2023-07-02,51
2023-07-09,49
2023-07-16,52
2023-07-23,56
2023-07-30,54
2023-08-06,50
2023-08-13,49
2023-08-20,50
2023-08-27,52
2023-09-03,51
2023-09-10,50
2023-09-17,49
2023-09-24,49
2023-10-01,49
2023-10-08,48
2023-10-15,46
2023-10-22,48
2023-10-29,45
2023-11-05,48
2023-11-12,47
2023-11-19,46
2023-11-26,48
2023-12-03,47
2023-12-10,46
2023-12-17,46
2023-12-24,47
2023-12-31,49
2024-01-07,46
2024-01-14,46
2024-01-21,48
2024-01-28,43
2024-02-04,43
2024-02-11,43
2024-02-18,41
2024-02-25,44
2024-03-03,56
2024-03-10,42
2024-03-17,44
2024-03-24,42
2024-03-31,40
2024-04-07,41
2024-04-14,40
2024-04-21,40
2024-04-28,39
2024-05-05,40
2024-05-12,40
2024-05-19,41
2024-05-26,40
2024-06-02,39
2024-06-09,41
2024-06-16,38
2024-06-23,38
2024-06-30,37
2024-07-07,40
2024-07-14,39
2024-07-21,38
2024-07-28,39
2024-08-04,38
2024-08-11,40
2024-08-18,39
2024-08-25,39
