Category: All categories

Week,github: (Worldwide)
2019-08-25,37
2019-09-01,36
2019-09-08,39
2019-09-15,39
2019-09-22,39
2019-09-29,38
2019-10-06,37
2019-10-13,39
2019-10-20,37
2019-10-27,35
2019-11-03,37
2019-11-10,40
2019-11-17,41
2019-11-24,36
2019-12-01,36
2019-12-08,37
2019-12-15,37
2019-12-22,27
2019-12-29,26
2020-01-05,35
2020-01-12,36
2020-01-19,46
2020-01-26,48
2020-02-02,42
2020-02-09,44
2020-02-16,60
2020-02-23,52
2020-03-01,48
2020-03-08,47
2020-03-15,40
2020-03-22,40
2020-03-29,42
2020-04-05,48
2020-04-12,45
2020-04-19,47
2020-04-26,44
2020-05-03,44
2020-05-10,45
2020-05-17,43
2020-05-24,41
2020-05-31,43
2020-06-07,39
2020-06-14,44
2020-06-21,42
2020-06-28,43
2020-07-05,41
2020-07-12,45
2020-07-19,43
2020-07-26,41
2020-08-02,42
2020-08-09,40
2020-08-16,41
2020-08-23,39
2020-08-30,40
2020-09-06,40
2020-09-13,42
2020-09-20,41
2020-09-27,35
2020-10-04,34
2020-10-11,31
2020-10-18,31
2020-10-25,32
2020-11-01,30
2020-11-08,30
2020-11-15,32
2020-11-22,30
2020-11-29,32
2020-12-06,30
2020-12-13,30
2020-12-20,27
2020-12-27,25
2021-01-03,30
2021-01-10,30
2021-01-17,32
2021-01-24,35
2021-01-31,34
2021-02-07,31
2021-02-14,34
2021-02-21,33
2021-02-28,35
2021-03-07,34
2021-03-14,35
2021-03-21,35
2021-03-28,36
2021-04-04,34
2021-04-11,36
2021-04-18,37
2021-04-25,35
2021-05-02,35
2021-05-09,37
2021-05-16,37
2021-05-23,36
2021-05-30,35
2021-06-06,37
2021-06-13,36
2021-06-20,36
2021-06-27,35
2021-07-04,36
2021-07-11,37
2021-07-18,36
2021-07-25,35
2021-08-01,35
2021-08-08,35
2021-08-15,36
2021-08-22,35
2021-08-29,37
2021-09-05,36
2021-09-12,40
2021-09-19,39
2021-09-26,38
2021-10-03,39
2021-10-10,41
2021-10-17,41
2021-10-24,43
2021-10-31,40
2021-11-07,43
2021-11-14,45
2021-11-21,40
2021-11-28,41
2021-12-05,41
2021-12-12,42
2021-12-19,40
2021-12-26,35
2022-01-02,56
2022-01-09,57
2022-01-16,55
2022-01-23,61
2022-01-30,61
2022-02-06,64
2022-02-13,71
2022-02-20,65
2022-02-27,68
2022-03-06,65
2022-03-13,67
2022-03-20,69
2022-03-27,77
2022-04-03,72
2022-04-10,70
2022-04-17,73
2022-04-24,74
2022-05-01,67
2022-05-08,75
2022-05-15,69
2022-05-22,68
2022-05-29,63
2022-06-05,68
2022-06-12,65
2022-06-19,71
2022-06-26,66
2022-07-03,65
2022-07-10,63
2022-07-17,66
2022-07-24,64
2022-07-31,65
2022-08-07,66
2022-08-14,63
2022-08-21,65
2022-08-28,64
2022-09-04,63
2022-09-11,70
2022-09-18,67
2022-09-25,69
2022-10-02,65
2022-10-09,68
2022-10-16,70
2022-10-23,69
2022-10-30,68
2022-11-06,72
2022-11-13,75
2022-11-20,66
2022-11-27,69
2022-12-04,73
2022-12-11,70
2022-12-18,63
2022-12-25,57
2023-01-01,66
2023-01-08,71
2023-01-15,74
2023-01-22,73
2023-01-29,82
2023-02-05,78
2023-02-12,80
2023-02-19,77
2023-02-26,80
2023-03-05,78
2023-03-12,75
2023-03-19,84
2023-03-26,86
2023-04-02,79
2023-04-09,76
2023-04-16,79
2023-04-23,72
2023-04-30,72
2023-05-07,75
2023-05-14,74
2023-05-21,74
2023-05-28,73
2023-06-04,73
2023-06-11,72
2023-06-18,70
2023-06-25,73
2023-07-02,74
2023-07-09,77
2023-07-16,73
2023-07-23,76
2023-07-30,74
2023-08-06,74
2023-08-13,68
2023-08-20,75
2023-08-27,78
2023-09-03,76
2023-09-10,78
2023-09-17,75
2023-09-24,79
2023-10-01,75
2023-10-08,76
2023-10-15,85
2023-10-22,83
2023-10-29,78
2023-11-05,80
2023-11-12,76
2023-11-19,72
2023-11-26,78
2023-12-03,82
2023-12-10,82
2023-12-17,78
2023-12-24,60
2023-12-31,71
2024-01-07,80
2024-01-14,80
2024-01-21,84
2024-01-28,96
2024-02-04,93
2024-02-11,90
2024-02-18,96
2024-02-25,97
2024-03-03,98
2024-03-10,99
2024-03-17,100
2024-03-24,96
2024-03-31,92
2024-04-07,95
2024-04-14,96
2024-04-21,99
2024-04-28,86
2024-05-05,88
2024-05-12,97
2024-05-19,95
2024-05-26,90
2024-06-02,87
2024-06-09,88
2024-06-16,87
2024-06-23,85
2024-06-30,81
2024-07-07,84
2024-07-14,87
2024-07-21,88
2024-07-28,88
2024-08-04,86
2024-08-11,88
2024-08-18,95
2024-08-25,94
