Category: All categories

Week,instagram: (Worldwide)
2019-08-25,81
2019-09-01,82
2019-09-08,85
2019-09-15,79
2019-09-22,81
2019-09-29,80
2019-10-06,88
2019-10-13,83
2019-10-20,79
2019-10-27,81
2019-11-03,79
2019-11-10,78
2019-11-17,77
2019-11-24,75
2019-12-01,75
2019-12-08,75
2019-12-15,83
2019-12-22,86
2019-12-29,90
2020-01-05,81
2020-01-12,76
2020-01-19,79
2020-01-26,85
2020-02-02,78
2020-02-09,75
2020-02-16,76
2020-02-23,75
2020-03-01,76
2020-03-08,75
2020-03-15,81
2020-03-22,87
2020-03-29,89
2020-04-05,93
2020-04-12,88
2020-04-19,90
2020-04-26,89
2020-05-03,87
2020-05-10,90
2020-05-17,86
2020-05-24,90
2020-05-31,91
2020-06-07,86
2020-06-14,87
2020-06-21,90
2020-06-28,93
2020-07-05,93
2020-07-12,92
2020-07-19,85
2020-07-26,85
2020-08-02,83
2020-08-09,84
2020-08-16,86
2020-08-23,84
2020-08-30,86
2020-09-06,83
2020-09-13,85
2020-09-20,87
2020-09-27,83
2020-10-04,79
2020-10-11,85
2020-10-18,84
2020-10-25,80
2020-11-01,78
2020-11-08,83
2020-11-15,82
2020-11-22,80
2020-11-29,77
2020-12-06,83
2020-12-13,77
2020-12-20,85
2020-12-27,92
2021-01-03,81
2021-01-10,78
2021-01-17,77
2021-01-24,76
2021-01-31,78
2021-02-07,77
2021-02-14,81
2021-02-21,78
2021-02-28,75
2021-03-07,73
2021-03-14,80
2021-03-21,82
2021-03-28,81
2021-04-04,83
2021-04-11,83
2021-04-18,81
2021-04-25,78
2021-05-02,76
2021-05-09,82
2021-05-16,80
2021-05-23,84
2021-05-30,79
2021-06-06,78
2021-06-13,79
2021-06-20,80
2021-06-27,77
2021-07-04,80
2021-07-11,80
2021-07-18,82
2021-07-25,82
2021-08-01,83
2021-08-08,81
2021-08-15,80
2021-08-22,80
2021-08-29,81
2021-09-05,79
2021-09-12,77
2021-09-19,79
2021-09-26,74
2021-10-03,100
2021-10-10,83
2021-10-17,77
2021-10-24,75
2021-10-31,79
2021-11-07,77
2021-11-14,78
2021-11-21,74
2021-11-28,75
2021-12-05,78
2021-12-12,77
2021-12-19,78
2021-12-26,82
2022-01-02,79
2022-01-09,74
2022-01-16,71
2022-01-23,74
2022-01-30,77
2022-02-06,76
2022-02-13,77
2022-02-20,76
2022-02-27,80
2022-03-06,75
2022-03-13,75
2022-03-20,77
2022-03-27,82
2022-04-03,82
2022-04-10,91
2022-04-17,86
2022-04-24,83
2022-05-01,86
2022-05-08,89
2022-05-15,87
2022-05-22,89
2022-05-29,86
2022-06-05,87
2022-06-12,88
2022-06-19,90
2022-06-26,91
2022-07-03,88
2022-07-10,91
2022-07-17,87
2022-07-24,89
2022-07-31,85
2022-08-07,88
2022-08-14,89
2022-08-21,88
2022-08-28,83
2022-09-04,82
2022-09-11,83
2022-09-18,86
2022-09-25,84
2022-10-02,89
2022-10-09,80
2022-10-16,79
2022-10-23,88
2022-10-30,88
2022-11-06,83
2022-11-13,85
2022-11-20,78
2022-11-27,79
2022-12-04,82
2022-12-11,82
2022-12-18,90
2022-12-25,97
2023-01-01,90
2023-01-08,89
2023-01-15,88
2023-01-22,88
2023-01-29,91
2023-02-05,85
2023-02-12,90
2023-02-19,90
2023-02-26,85
2023-03-05,95
2023-03-12,89
2023-03-19,93
2023-03-26,88
2023-04-02,89
2023-04-09,92
2023-04-16,93
2023-04-23,91
2023-04-30,91
2023-05-07,89
2023-05-14,91
2023-05-21,95
2023-05-28,91
2023-06-04,94
2023-06-11,98
2023-06-18,94
2023-06-25,93
2023-07-02,99
2023-07-09,96
2023-07-16,93
2023-07-23,91
2023-07-30,96
2023-08-06,89
2023-08-13,95
2023-08-20,90
2023-08-27,92
2023-09-03,88
2023-09-10,85
2023-09-17,91
2023-09-24,84
2023-10-01,87
2023-10-08,87
2023-10-15,80
2023-10-22,87
2023-10-29,86
2023-11-05,87
2023-11-12,87
2023-11-19,84
2023-11-26,84
2023-12-03,87
2023-12-10,88
2023-12-17,87
2023-12-24,97
2023-12-31,96
2024-01-07,86
2024-01-14,89
2024-01-21,87
2024-01-28,76
2024-02-04,75
2024-02-11,75
2024-02-18,74
2024-02-25,73
2024-03-03,85
2024-03-10,77
2024-03-17,77
2024-03-24,80
2024-03-31,75
2024-04-07,72
2024-04-14,74
2024-04-21,73
2024-04-28,72
2024-05-05,76
2024-05-12,76
2024-05-19,73
2024-05-26,73
2024-06-02,71
2024-06-09,73
2024-06-16,73
2024-06-23,73
2024-06-30,73
2024-07-07,72
2024-07-14,77
2024-07-21,76
2024-07-28,76
2024-08-04,77
2024-08-11,78
2024-08-18,77
2024-08-25,78
