Category: All categories

Week,netflix: (Worldwide)
2019-08-25,44
2019-09-01,45
2019-09-08,43
2019-09-15,45
2019-09-22,43
2019-09-29,42
2019-10-06,41
2019-10-13,44
2019-10-20,44
2019-10-27,44
2019-11-03,44
2019-11-10,44
2019-11-17,45
2019-11-24,43
2019-12-01,43
2019-12-08,43
2019-12-15,51
2019-12-22,61
2019-12-29,70
2020-01-05,58
2020-01-12,52
2020-01-19,53
2020-01-26,49
2020-02-02,50
2020-02-09,50
2020-02-16,47
2020-02-23,49
2020-03-01,47
2020-03-08,52
2020-03-15,81
2020-03-22,97
2020-03-29,100
2020-04-05,90
2020-04-12,88
2020-04-19,86
2020-04-26,80
2020-05-03,75
2020-05-10,68
2020-05-17,65
2020-05-24,64
2020-05-31,61
2020-06-07,62
2020-06-14,61
2020-06-21,61
2020-06-28,65
2020-07-05,59
2020-07-12,60
2020-07-19,61
2020-07-26,58
2020-08-02,56
2020-08-09,55
2020-08-16,58
2020-08-23,54
2020-08-30,56
2020-09-06,58
2020-09-13,60
2020-09-20,54
2020-09-27,53
2020-10-04,53
2020-10-11,51
2020-10-18,55
2020-10-25,55
2020-11-01,50
2020-11-08,53
2020-11-15,53
2020-11-22,54
2020-11-29,56
2020-12-06,55
2020-12-13,57
2020-12-20,63
2020-12-27,76
2021-01-03,63
2021-01-10,61
2021-01-17,63
2021-01-24,60
2021-01-31,57
2021-02-07,55
2021-02-14,59
2021-02-21,52
2021-02-28,51
2021-03-07,51
2021-03-14,49
2021-03-21,51
2021-03-28,55
2021-04-04,53
2021-04-11,50
2021-04-18,53
2021-04-25,52
2021-05-02,51
2021-05-09,52
2021-05-16,51
2021-05-23,49
2021-05-30,48
2021-06-06,47
2021-06-13,47
2021-06-20,50
2021-06-27,51
2021-07-04,49
2021-07-11,48
2021-07-18,49
2021-07-25,49
2021-08-01,46
2021-08-08,47
2021-08-15,49
2021-08-22,49
2021-08-29,51
2021-09-05,47
2021-09-12,45
2021-09-19,48
2021-09-26,53
2021-10-03,54
2021-10-10,54
2021-10-17,51
2021-10-24,50
2021-10-31,48
2021-11-07,46
2021-11-14,46
2021-11-21,48
2021-11-28,49
2021-12-05,48
2021-12-12,49
2021-12-19,52
2021-12-26,63
2022-01-02,70
2022-01-09,61
2022-01-16,55
2022-01-23,57
2022-01-30,60
2022-02-06,55
2022-02-13,53
2022-02-20,48
2022-02-27,51
2022-03-06,47
2022-03-13,48
2022-03-20,50
2022-03-27,45
2022-04-03,47
2022-04-10,52
2022-04-17,54
2022-04-24,51
2022-05-01,48
2022-05-08,42
2022-05-15,44
2022-05-22,49
2022-05-29,47
2022-06-05,51
2022-06-12,49
2022-06-19,50
2022-06-26,52
2022-07-03,50
2022-07-10,51
2022-07-17,55
2022-07-24,51
2022-07-31,51
2022-08-07,50
2022-08-14,51
2022-08-21,49
2022-08-28,46
2022-09-04,45
2022-09-11,44
2022-09-18,48
2022-09-25,55
2022-10-02,51
2022-10-09,50
2022-10-16,50
2022-10-23,51
2022-10-30,52
2022-11-06,45
2022-11-13,47
2022-11-20,46
2022-11-27,46
2022-12-04,52
2022-12-11,51
2022-12-18,54
2022-12-25,63
2023-01-01,62
2023-01-08,53
2023-01-15,52
2023-01-22,52
2023-01-29,51
2023-02-05,50
2023-02-12,48
2023-02-19,51
2023-02-26,45
2023-03-05,46
2023-03-12,45
2023-03-19,43
2023-03-26,43
2023-04-02,44
2023-04-09,46
2023-04-16,45
2023-04-23,44
2023-04-30,44
2023-05-07,41
2023-05-14,42
2023-05-21,48
2023-05-28,46
2023-06-04,46
2023-06-11,46
2023-06-18,46
2023-06-25,48
2023-07-02,46
2023-07-09,45
2023-07-16,45
2023-07-23,46
2023-07-30,45
2023-08-06,45
2023-08-13,45
2023-08-20,43
2023-08-27,48
2023-09-03,49
2023-09-10,44
2023-09-17,45
2023-09-24,43
2023-10-01,44
2023-10-08,46
2023-10-15,44
2023-10-22,43
2023-10-29,47
2023-11-05,43
2023-11-12,42
2023-11-19,43
2023-11-26,43
2023-12-03,45
2023-12-10,49
2023-12-17,48
2023-12-24,56
2023-12-31,60
2024-01-07,48
2024-01-14,47
2024-01-21,50
2024-01-28,48
2024-02-04,45
2024-02-11,49
2024-02-18,52
2024-02-25,50
2024-03-03,50
2024-03-10,47
2024-03-17,45
2024-03-24,49
2024-03-31,44
2024-04-07,43
2024-04-14,44
2024-04-21,43
2024-04-28,47
2024-05-05,43
2024-05-12,44
2024-05-19,43
2024-05-26,45
2024-06-02,44
2024-06-09,46
2024-06-16,43
2024-06-23,41
2024-06-30,42
2024-07-07,41
2024-07-14,40
2024-07-21,46
2024-07-28,39
2024-08-04,39
2024-08-11,43
2024-08-18,43
2024-08-25,42
