Category: All categories

Week,pinduoduo: (Worldwide)
2019-08-25,9
2019-09-01,9
2019-09-08,8
2019-09-15,8
2019-09-22,7
2019-09-29,5
2019-10-06,7
2019-10-13,6
2019-10-20,7
2019-10-27,9
2019-11-03,10
2019-11-10,14
2019-11-17,15
2019-11-24,12
2019-12-01,8
2019-12-08,8
2019-12-15,7
2019-12-22,5
2019-12-29,5
2020-01-05,8
2020-01-12,8
2020-01-19,7
2020-01-26,5
2020-02-02,6
2020-02-09,6
2020-02-16,5
2020-02-23,6
2020-03-01,4
2020-03-08,8
2020-03-15,4
2020-03-22,5
2020-03-29,7
2020-04-05,6
2020-04-12,9
2020-04-19,18
2020-04-26,12
2020-05-03,14
2020-05-10,14
2020-05-17,25
2020-05-24,26
2020-05-31,15
2020-06-07,13
2020-06-14,20
2020-06-21,49
2020-06-28,28
2020-07-05,29
2020-07-12,21
2020-07-19,17
2020-07-26,12
2020-08-02,18
2020-08-09,15
2020-08-16,29
2020-08-23,23
2020-08-30,14
2020-09-06,12
2020-09-13,13
2020-09-20,11
2020-09-27,12
2020-10-04,12
2020-10-11,12
2020-10-18,14
2020-10-25,12
2020-11-01,15
2020-11-08,43
2020-11-15,35
2020-11-22,20
2020-11-29,18
2020-12-06,19
2020-12-13,15
2020-12-20,20
2020-12-27,47
2021-01-03,42
2021-01-10,31
2021-01-17,24
2021-01-24,22
2021-01-31,24
2021-02-07,23
2021-02-14,20
2021-02-21,21
2021-02-28,25
2021-03-07,26
2021-03-14,44
2021-03-21,38
2021-03-28,26
2021-04-04,22
2021-04-11,22
2021-04-18,18
2021-04-25,19
2021-05-02,19
2021-05-09,21
2021-05-16,20
2021-05-23,22
2021-05-30,20
2021-06-06,19
2021-06-13,18
2021-06-20,19
2021-06-27,21
2021-07-04,20
2021-07-11,18
2021-07-18,18
2021-07-25,31
2021-08-01,20
2021-08-08,17
2021-08-15,21
2021-08-22,34
2021-08-29,27
2021-09-05,18
2021-09-12,26
2021-09-19,18
2021-09-26,15
2021-10-03,17
2021-10-10,17
2021-10-17,17
2021-10-24,17
2021-10-31,18
2021-11-07,19
2021-11-14,17
2021-11-21,23
2021-11-28,23
2021-12-05,19
2021-12-12,12
2021-12-19,14
2021-12-26,15
2022-01-02,22
2022-01-09,16
2022-01-16,15
2022-01-23,17
2022-01-30,13
2022-02-06,16
2022-02-13,18
2022-02-20,15
2022-02-27,15
2022-03-06,17
2022-03-13,39
2022-03-20,28
2022-03-27,19
2022-04-03,16
2022-04-10,13
2022-04-17,15
2022-04-24,18
2022-05-01,21
2022-05-08,13
2022-05-15,13
2022-05-22,15
2022-05-29,18
2022-06-05,21
2022-06-12,15
2022-06-19,16
2022-06-26,14
2022-07-03,14
2022-07-10,14
2022-07-17,15
2022-07-24,13
2022-07-31,16
2022-08-07,14
2022-08-14,15
2022-08-21,23
2022-08-28,37
2022-09-04,24
2022-09-11,23
2022-09-18,20
2022-09-25,22
2022-10-02,20
2022-10-09,21
2022-10-16,20
2022-10-23,39
2022-10-30,27
2022-11-06,26
2022-11-13,29
2022-11-20,24
2022-11-27,32
2022-12-04,26
2022-12-11,21
2022-12-18,20
2022-12-25,24
2023-01-01,26
2023-01-08,25
2023-01-15,23
2023-01-22,30
2023-01-29,38
2023-02-05,30
2023-02-12,28
2023-02-19,31
2023-02-26,26
2023-03-05,27
2023-03-12,28
2023-03-19,71
2023-03-26,94
2023-04-02,88
2023-04-09,60
2023-04-16,59
2023-04-23,55
2023-04-30,69
2023-05-07,67
2023-05-14,57
2023-05-21,61
2023-05-28,56
2023-06-04,62
2023-06-11,63
2023-06-18,59
2023-06-25,61
2023-07-02,63
2023-07-09,68
2023-07-16,64
2023-07-23,64
2023-07-30,60
2023-08-06,64
2023-08-13,66
2023-08-20,64
2023-08-27,68
2023-09-03,62
2023-09-10,60
2023-09-17,62
2023-09-24,64
2023-10-01,58
2023-10-08,65
2023-10-15,65
2023-10-22,69
2023-10-29,73
2023-11-05,80
2023-11-12,75
2023-11-19,70
2023-11-26,88
2023-12-03,72
2023-12-10,67
2023-12-17,61
2023-12-24,47
2023-12-31,62
2024-01-07,67
2024-01-14,65
2024-01-21,58
2024-01-28,57
2024-02-04,55
2024-02-11,54
2024-02-18,54
2024-02-25,53
2024-03-03,51
2024-03-10,62
2024-03-17,69
2024-03-24,67
2024-03-31,58
2024-04-07,49
2024-04-14,49
2024-04-21,50
2024-04-28,48
2024-05-05,46
2024-05-12,47
2024-05-19,52
2024-05-26,47
2024-06-02,45
2024-06-09,44
2024-06-16,39
2024-06-23,43
2024-06-30,42
2024-07-07,41
2024-07-14,48
2024-07-21,46
2024-07-28,48
2024-08-04,52
2024-08-11,56
2024-08-18,57
2024-08-25,100
