Category: All categories

Week,walmart: (Worldwide)
2019-08-25,50
2019-09-01,48
2019-09-08,44
2019-09-15,45
2019-09-22,41
2019-09-29,46
2019-10-06,43
2019-10-13,46
2019-10-20,46
2019-10-27,47
2019-11-03,50
2019-11-10,58
2019-11-17,62
2019-11-24,100
2019-12-01,66
2019-12-08,60
2019-12-15,67
2019-12-22,88
2019-12-29,56
2020-01-05,42
2020-01-12,44
2020-01-19,40
2020-01-26,40
2020-02-02,39
2020-02-09,43
2020-02-16,41
2020-02-23,43
2020-03-01,44
2020-03-08,50
2020-03-15,66
2020-03-22,65
2020-03-29,73
2020-04-05,72
2020-04-12,71
2020-04-19,70
2020-04-26,70
2020-05-03,71
2020-05-10,66
2020-05-17,70
2020-05-24,68
2020-05-31,68
2020-06-07,62
2020-06-14,62
2020-06-21,61
2020-06-28,62
2020-07-05,58
2020-07-12,59
2020-07-19,57
2020-07-26,56
2020-08-02,54
2020-08-09,53
2020-08-16,54
2020-08-23,49
2020-08-30,52
2020-09-06,51
2020-09-13,50
2020-09-20,47
2020-09-27,47
2020-10-04,46
2020-10-11,49
2020-10-18,48
2020-10-25,50
2020-11-01,51
2020-11-08,76
2020-11-15,65
2020-11-22,93
2020-11-29,73
2020-12-06,68
2020-12-13,67
2020-12-20,83
2020-12-27,67
2021-01-03,52
2021-01-10,47
2021-01-17,45
2021-01-24,46
2021-01-31,46
2021-02-07,47
2021-02-14,47
2021-02-21,44
2021-02-28,44
2021-03-07,46
2021-03-14,48
2021-03-21,49
2021-03-28,51
2021-04-04,53
2021-04-11,50
2021-04-18,45
2021-04-25,44
2021-05-02,45
2021-05-09,44
2021-05-16,46
2021-05-23,48
2021-05-30,48
2021-06-06,46
2021-06-13,46
2021-06-20,48
2021-06-27,47
2021-07-04,47
2021-07-11,46
2021-07-18,49
2021-07-25,46
2021-08-01,44
2021-08-08,45
2021-08-15,46
2021-08-22,45
2021-08-29,45
2021-09-05,42
2021-09-12,44
2021-09-19,43
2021-09-26,42
2021-10-03,42
2021-10-10,43
2021-10-17,47
2021-10-24,48
2021-10-31,50
2021-11-07,54
2021-11-14,54
2021-11-21,78
2021-11-28,58
2021-12-05,56
2021-12-12,57
2021-12-19,75
2021-12-26,60
2022-01-02,45
2022-01-09,40
2022-01-16,35
2022-01-23,36
2022-01-30,37
2022-02-06,34
2022-02-13,35
2022-02-20,34
2022-02-27,37
2022-03-06,36
2022-03-13,37
2022-03-20,37
2022-03-27,33
2022-04-03,37
2022-04-10,42
2022-04-17,38
2022-04-24,36
2022-05-01,38
2022-05-08,38
2022-05-15,38
2022-05-22,39
2022-05-29,39
2022-06-05,40
2022-06-12,42
2022-06-19,40
2022-06-26,41
2022-07-03,43
2022-07-10,41
2022-07-17,42
2022-07-24,39
2022-07-31,43
2022-08-07,39
2022-08-14,41
2022-08-21,38
2022-08-28,39
2022-09-04,38
2022-09-11,36
2022-09-18,35
2022-09-25,36
2022-10-02,36
2022-10-09,36
2022-10-16,35
2022-10-23,37
2022-10-30,36
2022-11-06,41
2022-11-13,45
2022-11-20,60
2022-11-27,41
2022-12-04,40
2022-12-11,44
2022-12-18,57
2022-12-25,50
2023-01-01,38
2023-01-08,33
2023-01-15,33
2023-01-22,33
2023-01-29,34
2023-02-05,33
2023-02-12,32
2023-02-19,33
2023-02-26,34
2023-03-05,31
2023-03-12,31
2023-03-19,32
2023-03-26,32
2023-04-02,35
2023-04-09,37
2023-04-16,33
2023-04-23,31
2023-04-30,32
2023-05-07,34
2023-05-14,33
2023-05-21,35
2023-05-28,35
2023-06-04,33
2023-06-11,35
2023-06-18,35
2023-06-25,38
2023-07-02,40
2023-07-09,36
2023-07-16,35
2023-07-23,36
2023-07-30,36
2023-08-06,34
2023-08-13,32
2023-08-20,33
2023-08-27,33
2023-09-03,34
2023-09-10,32
2023-09-17,31
2023-09-24,32
2023-10-01,32
2023-10-08,33
2023-10-15,32
2023-10-22,33
2023-10-29,34
2023-11-05,37
2023-11-12,40
2023-11-19,59
2023-11-26,41
2023-12-03,41
2023-12-10,40
2023-12-17,46
2023-12-24,49
2023-12-31,39
2024-01-07,31
2024-01-14,31
2024-01-21,33
2024-01-28,30
2024-02-04,30
2024-02-11,30
2024-02-18,31
2024-02-25,32
2024-03-03,32
2024-03-10,32
2024-03-17,30
2024-03-24,34
2024-03-31,35
2024-04-07,31
2024-04-14,32
2024-04-21,31
2024-04-28,32
2024-05-05,31
2024-05-12,32
2024-05-19,35
2024-05-26,34
2024-06-02,34
2024-06-09,33
2024-06-16,36
2024-06-23,34
2024-06-30,38
2024-07-07,36
2024-07-14,35
2024-07-21,34
2024-07-28,35
2024-08-04,35
2024-08-11,35
2024-08-18,36
2024-08-25,35
