Category: All categories

Week,weather: (Worldwide)
2019-08-25,56
2019-09-01,53
2019-09-08,46
2019-09-15,44
2019-09-22,49
2019-09-29,58
2019-10-06,64
2019-10-13,60
2019-10-20,64
2019-10-27,67
2019-11-03,63
2019-11-10,64
2019-11-17,58
2019-11-24,62
2019-12-01,60
2019-12-08,67
2019-12-15,69
2019-12-22,70
2019-12-29,74
2020-01-05,76
2020-01-12,85
2020-01-19,66
2020-01-26,60
2020-02-02,69
2020-02-09,70
2020-02-16,61
2020-02-23,67
2020-03-01,66
2020-03-08,68
2020-03-15,52
2020-03-22,50
2020-03-29,51
2020-04-05,54
2020-04-12,54
2020-04-19,54
2020-04-26,55
2020-05-03,58
2020-05-10,58
2020-05-17,66
2020-05-24,68
2020-05-31,74
2020-06-07,70
2020-06-14,69
2020-06-21,72
2020-06-28,70
2020-07-05,71
2020-07-12,70
2020-07-19,71
2020-07-26,71
2020-08-02,74
2020-08-09,77
2020-08-16,74
2020-08-23,73
2020-08-30,63
2020-09-06,61
2020-09-13,60
2020-09-20,59
2020-09-27,58
2020-10-04,56
2020-10-11,56
2020-10-18,61
2020-10-25,59
2020-11-01,49
2020-11-08,55
2020-11-15,53
2020-11-22,56
2020-11-29,60
2020-12-06,60
2020-12-13,67
2020-12-20,63
2020-12-27,69
2021-01-03,69
2021-01-10,61
2021-01-17,61
2021-01-24,67
2021-01-31,70
2021-02-07,70
2021-02-14,79
2021-02-21,58
2021-02-28,52
2021-03-07,59
2021-03-14,55
2021-03-21,62
2021-03-28,60
2021-04-04,59
2021-04-11,62
2021-04-18,62
2021-04-25,61
2021-05-02,69
2021-05-09,67
2021-05-16,74
2021-05-23,76
2021-05-30,74
2021-06-06,73
2021-06-13,78
2021-06-20,76
2021-06-27,82
2021-07-04,84
2021-07-11,85
2021-07-18,90
2021-07-25,83
2021-08-01,73
2021-08-08,71
2021-08-15,74
2021-08-22,67
2021-08-29,69
2021-09-05,69
2021-09-12,66
2021-09-19,71
2021-09-26,72
2021-10-03,65
2021-10-10,63
2021-10-17,67
2021-10-24,66
2021-10-31,55
2021-11-07,56
2021-11-14,57
2021-11-21,53
2021-11-28,61
2021-12-05,60
2021-12-12,63
2021-12-19,65
2021-12-26,77
2022-01-02,86
2022-01-09,68
2022-01-16,76
2022-01-23,69
2022-01-30,80
2022-02-06,58
2022-02-13,62
2022-02-20,66
2022-02-27,55
2022-03-06,58
2022-03-13,53
2022-03-20,53
2022-03-27,54
2022-04-03,57
2022-04-10,67
2022-04-17,57
2022-04-24,59
2022-05-01,62
2022-05-08,62
2022-05-15,75
2022-05-22,73
2022-05-29,66
2022-06-05,69
2022-06-12,79
2022-06-19,79
2022-06-26,88
2022-07-03,90
2022-07-10,85
2022-07-17,96
2022-07-24,80
2022-07-31,79
2022-08-07,73
2022-08-14,85
2022-08-21,71
2022-08-28,66
2022-09-04,68
2022-09-11,66
2022-09-18,67
2022-09-25,69
2022-10-02,62
2022-10-09,65
2022-10-16,58
2022-10-23,57
2022-10-30,61
2022-11-06,60
2022-11-13,63
2022-11-20,51
2022-11-27,53
2022-12-04,57
2022-12-11,67
2022-12-18,81
2022-12-25,71
2023-01-01,68
2023-01-08,74
2023-01-15,70
2023-01-22,70
2023-01-29,70
2023-02-05,55
2023-02-12,57
2023-02-19,62
2023-02-26,63
2023-03-05,62
2023-03-12,69
2023-03-19,76
2023-03-26,76
2023-04-02,72
2023-04-09,66
2023-04-16,74
2023-04-23,73
2023-04-30,79
2023-05-07,71
2023-05-14,66
2023-05-21,74
2023-05-28,80
2023-06-04,76
2023-06-11,88
2023-06-18,92
2023-06-25,92
2023-07-02,100
2023-07-09,92
2023-07-16,91
2023-07-23,89
2023-07-30,77
2023-08-06,73
2023-08-13,69
2023-08-20,71
2023-08-27,66
2023-09-03,68
2023-09-10,73
2023-09-17,72
2023-09-24,62
2023-10-01,55
2023-10-08,56
2023-10-15,60
2023-10-22,52
2023-10-29,53
2023-11-05,56
2023-11-12,55
2023-11-19,49
2023-11-26,61
2023-12-03,56
2023-12-10,48
2023-12-17,53
2023-12-24,54
2023-12-31,60
2024-01-07,70
2024-01-14,79
2024-01-21,62
2024-01-28,51
2024-02-04,51
2024-02-11,49
2024-02-18,48
2024-02-25,54
2024-03-03,54
2024-03-10,47
2024-03-17,51
2024-03-24,54
2024-03-31,54
2024-04-07,54
2024-04-14,60
2024-04-21,58
2024-04-28,67
2024-05-05,71
2024-05-12,64
2024-05-19,64
2024-05-26,72
2024-06-02,56
2024-06-09,58
2024-06-16,63
2024-06-23,70
2024-06-30,69
2024-07-07,69
2024-07-14,64
2024-07-21,65
2024-07-28,68
2024-08-04,66
2024-08-11,62
2024-08-18,60
2024-08-25,62
