Category: All categories

Week,wikipedia: (Worldwide)
2019-08-25,84
2019-09-01,89
2019-09-08,87
2019-09-15,86
2019-09-22,90
2019-09-29,87
2019-10-06,86
2019-10-13,90
2019-10-20,87
2019-10-27,80
2019-11-03,91
2019-11-10,85
2019-11-17,90
2019-11-24,82
2019-12-01,81
2019-12-08,79
2019-12-15,80
2019-12-22,81
2019-12-29,85
2020-01-05,86
2020-01-12,94
2020-01-19,89
2020-01-26,94
2020-02-02,88
2020-02-09,88
2020-02-16,82
2020-02-23,87
2020-03-01,91
2020-03-08,93
2020-03-15,88
2020-03-22,98
2020-03-29,100
2020-04-05,95
2020-04-12,92
2020-04-19,92
2020-04-26,90
2020-05-03,89
2020-05-10,89
2020-05-17,82
2020-05-24,82
2020-05-31,82
2020-06-07,80
2020-06-14,83
2020-06-21,80
2020-06-28,79
2020-07-05,73
2020-07-12,75
2020-07-19,73
2020-07-26,72
2020-08-02,69
2020-08-09,73
2020-08-16,72
2020-08-23,70
2020-08-30,73
2020-09-06,75
2020-09-13,75
2020-09-20,75
2020-09-27,74
2020-10-04,72
2020-10-11,74
2020-10-18,73
2020-10-25,71
2020-11-01,73
2020-11-08,73
2020-11-15,76
2020-11-22,73
2020-11-29,72
2020-12-06,71
2020-12-13,71
2020-12-20,70
2020-12-27,80
2021-01-03,72
2021-01-10,73
2021-01-17,78
2021-01-24,72
2021-01-31,69
2021-02-07,75
2021-02-14,74
2021-02-21,72
2021-02-28,69
2021-03-07,71
2021-03-14,70
2021-03-21,69
2021-03-28,70
2021-04-04,70
2021-04-11,71
2021-04-18,68
2021-04-25,69
2021-05-02,66
2021-05-09,70
2021-05-16,70
2021-05-23,69
2021-05-30,68
2021-06-06,63
2021-06-13,65
2021-06-20,65
2021-06-27,61
2021-07-04,62
2021-07-11,63
2021-07-18,67
2021-07-25,65
2021-08-01,65
2021-08-08,63
2021-08-15,64
2021-08-22,63
2021-08-29,62
2021-09-05,61
2021-09-12,65
2021-09-19,64
2021-09-26,62
2021-10-03,64
2021-10-10,65
2021-10-17,63
2021-10-24,61
2021-10-31,64
2021-11-07,69
2021-11-14,68
2021-11-21,65
2021-11-28,64
2021-12-05,64
2021-12-12,60
2021-12-19,57
2021-12-26,63
2022-01-02,74
2022-01-09,74
2022-01-16,70
2022-01-23,75
2022-01-30,76
2022-02-06,76
2022-02-13,82
2022-02-20,81
2022-02-27,89
2022-03-06,79
2022-03-13,79
2022-03-20,76
2022-03-27,75
2022-04-03,77
2022-04-10,76
2022-04-17,76
2022-04-24,75
2022-05-01,77
2022-05-08,76
2022-05-15,72
2022-05-22,76
2022-05-29,73
2022-06-05,73
2022-06-12,71
2022-06-19,72
2022-06-26,72
2022-07-03,71
2022-07-10,69
2022-07-17,69
2022-07-24,70
2022-07-31,72
2022-08-07,73
2022-08-14,73
2022-08-21,73
2022-08-28,70
2022-09-04,72
2022-09-11,73
2022-09-18,70
2022-09-25,71
2022-10-02,72
2022-10-09,75
2022-10-16,69
2022-10-23,73
2022-10-30,73
2022-11-06,70
2022-11-13,74
2022-11-20,70
2022-11-27,69
2022-12-04,69
2022-12-11,67
2022-12-18,64
2022-12-25,71
2023-01-01,69
2023-01-08,72
2023-01-15,73
2023-01-22,72
2023-01-29,74
2023-02-05,70
2023-02-12,71
2023-02-19,66
2023-02-26,71
2023-03-05,74
2023-03-12,64
2023-03-19,68
2023-03-26,67
2023-04-02,64
2023-04-09,68
2023-04-16,68
2023-04-23,68
2023-04-30,69
2023-05-07,64
2023-05-14,64
2023-05-21,68
2023-05-28,69
2023-06-04,67
2023-06-11,65
2023-06-18,65
2023-06-25,66
2023-07-02,66
2023-07-09,63
2023-07-16,64
2023-07-23,66
2023-07-30,63
2023-08-06,61
2023-08-13,66
2023-08-20,63
2023-08-27,61
2023-09-03,64
2023-09-10,63
2023-09-17,62
2023-09-24,66
2023-10-01,65
2023-10-08,67
2023-10-15,66
2023-10-22,71
2023-10-29,61
2023-11-05,68
2023-11-12,65
2023-11-19,66
2023-11-26,62
2023-12-03,66
2023-12-10,64
2023-12-17,61
2023-12-24,65
2023-12-31,65
2024-01-07,65
2024-01-14,66
2024-01-21,60
2024-01-28,64
2024-02-04,64
2024-02-11,59
2024-02-18,63
2024-02-25,58
2024-03-03,61
2024-03-10,57
2024-03-17,59
2024-03-24,56
2024-03-31,56
2024-04-07,57
2024-04-14,61
2024-04-21,58
2024-04-28,53
2024-05-05,57
2024-05-12,64
2024-05-19,57
2024-05-26,60
2024-06-02,57
2024-06-09,59
2024-06-16,57
2024-06-23,55
2024-06-30,56
2024-07-07,56
2024-07-14,60
2024-07-21,57
2024-07-28,58
2024-08-04,59
2024-08-11,58
2024-08-18,57
2024-08-25,56
