Category: All categories

Week,youtube: (Worldwide)
2019-08-25,91
2019-09-01,94
2019-09-08,91
2019-09-15,90
2019-09-22,86
2019-09-29,90
2019-10-06,87
2019-10-13,87
2019-10-20,90
2019-10-27,89
2019-11-03,88
2019-11-10,89
2019-11-17,91
2019-11-24,87
2019-12-01,88
2019-12-08,93
2019-12-15,95
2019-12-22,92
2019-12-29,88
2020-01-05,85
2020-01-12,84
2020-01-19,86
2020-01-26,82
2020-02-02,84
2020-02-09,81
2020-02-16,87
2020-02-23,85
2020-03-01,83
2020-03-08,82
2020-03-15,87
2020-03-22,95
2020-03-29,100
2020-04-05,97
2020-04-12,97
2020-04-19,95
2020-04-26,97
2020-05-03,95
2020-05-10,94
2020-05-17,86
2020-05-24,88
2020-05-31,83
2020-06-07,86
2020-06-14,86
2020-06-21,80
2020-06-28,84
2020-07-05,86
2020-07-12,85
2020-07-19,84
2020-07-26,82
2020-08-02,81
2020-08-09,87
2020-08-16,82
2020-08-23,84
2020-08-30,87
2020-09-06,84
2020-09-13,85
2020-09-20,85
2020-09-27,83
2020-10-04,84
2020-10-11,83
2020-10-18,84
2020-10-25,83
2020-11-01,78
2020-11-08,88
2020-11-15,86
2020-11-22,81
2020-11-29,84
2020-12-06,82
2020-12-13,88
2020-12-20,86
2020-12-27,85
2021-01-03,81
2021-01-10,83
2021-01-17,81
2021-01-24,83
2021-01-31,83
2021-02-07,82
2021-02-14,83
2021-02-21,83
2021-02-28,80
2021-03-07,83
2021-03-14,79
2021-03-21,85
2021-03-28,80
2021-04-04,79
2021-04-11,77
2021-04-18,76
2021-04-25,82
2021-05-02,80
2021-05-09,78
2021-05-16,80
2021-05-23,79
2021-05-30,77
2021-06-06,82
2021-06-13,78
2021-06-20,80
2021-06-27,77
2021-07-04,72
2021-07-11,72
2021-07-18,74
2021-07-25,76
2021-08-01,73
2021-08-08,68
2021-08-15,73
2021-08-22,76
2021-08-29,81
2021-09-05,76
2021-09-12,76
2021-09-19,75
2021-09-26,76
2021-10-03,76
2021-10-10,78
2021-10-17,75
2021-10-24,75
2021-10-31,71
2021-11-07,75
2021-11-14,75
2021-11-21,75
2021-11-28,77
2021-12-05,80
2021-12-12,78
2021-12-19,80
2021-12-26,77
2022-01-02,78
2022-01-09,75
2022-01-16,75
2022-01-23,73
2022-01-30,75
2022-02-06,74
2022-02-13,67
2022-02-20,73
2022-02-27,73
2022-03-06,70
2022-03-13,73
2022-03-20,73
2022-03-27,77
2022-04-03,74
2022-04-10,74
2022-04-17,72
2022-04-24,72
2022-05-01,71
2022-05-08,71
2022-05-15,74
2022-05-22,74
2022-05-29,72
2022-06-05,75
2022-06-12,73
2022-06-19,76
2022-06-26,73
2022-07-03,74
2022-07-10,71
2022-07-17,69
2022-07-24,71
2022-07-31,71
2022-08-07,70
2022-08-14,74
2022-08-21,71
2022-08-28,67
2022-09-04,67
2022-09-11,69
2022-09-18,75
2022-09-25,72
2022-10-02,71
2022-10-09,73
2022-10-16,70
2022-10-23,72
2022-10-30,70
2022-11-06,70
2022-11-13,76
2022-11-20,68
2022-11-27,67
2022-12-04,72
2022-12-11,71
2022-12-18,74
2022-12-25,71
2023-01-01,67
2023-01-08,71
2023-01-15,68
2023-01-22,70
2023-01-29,75
2023-02-05,73
2023-02-12,74
2023-02-19,75
2023-02-26,72
2023-03-05,74
2023-03-12,69
2023-03-19,70
2023-03-26,70
2023-04-02,65
2023-04-09,73
2023-04-16,68
2023-04-23,68
2023-04-30,69
2023-05-07,70
2023-05-14,66
2023-05-21,69
2023-05-28,69
2023-06-04,70
2023-06-11,68
2023-06-18,69
2023-06-25,67
2023-07-02,69
2023-07-09,72
2023-07-16,73
2023-07-23,70
2023-07-30,72
2023-08-06,71
2023-08-13,73
2023-08-20,73
2023-08-27,73
2023-09-03,71
2023-09-10,68
2023-09-17,72
2023-09-24,69
2023-10-01,69
2023-10-08,71
2023-10-15,73
2023-10-22,75
2023-10-29,72
2023-11-05,72
2023-11-12,69
2023-11-19,68
2023-11-26,72
2023-12-03,73
2023-12-10,73
2023-12-17,76
2023-12-24,70
2023-12-31,70
2024-01-07,71
2024-01-14,72
2024-01-21,73
2024-01-28,74
2024-02-04,76
2024-02-11,75
2024-02-18,73
2024-02-25,67
2024-03-03,74
2024-03-10,74
2024-03-17,77
2024-03-24,78
2024-03-31,73
2024-04-07,76
2024-04-14,74
2024-04-21,73
2024-04-28,76
2024-05-05,74
2024-05-12,74
2024-05-19,72
2024-05-26,70
2024-06-02,73
2024-06-09,71
2024-06-16,69
2024-06-23,68
2024-06-30,67
2024-07-07,69
2024-07-14,70
2024-07-21,71
2024-07-28,73
2024-08-04,70
2024-08-11,75
2024-08-18,79
2024-08-25,76
