web-scraper-order,web-scraper-start-url,mom_value,mom_sign
"1701698397-1","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.76%","changePercentage positive"
"1701698397-2","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.73%","changePercentage positive"
"1701698397-3","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","2.38%","changePercentage positive"
"1701698397-4","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","4.46%","changePercentage positive"
"1701698397-5","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","5.02%","changePercentage positive"
"1701698397-6","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","1.33%","changePercentage positive"
"1701698397-7","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","6.40%","changePercentage positive"
"1701698397-8","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","5.49%","changePercentage negative"
"1701698397-9","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","5.99%","changePercentage positive"
"1701698397-10","https://pro.similarweb.com/?_gl=1*1hfww2o*_ga*MTg0Mzg4MjYxNy4xNzAxMTgyNTg5*_ga_V5DSP51YD0*MTcwMTY5NjY3MC42LjAuMTcwMTY5NjY3OS41MS4wLjA.#/digitalsuite/markets/webmarketanalysis/mapping/All/999/3m?webSource=Total","3.39%","changePercentage positive"
