position,domain,sector_industry,traffic_global,brazil_share,traffic_brazil,owner_country
1,google.com,Computers Electronics and Technology > Search Engines,8.3330E+10,5.38%,4.4832E+09,United States
2,youtube.com,Arts & Entertainment > Streaming & Online TV,3.1490E+10,4.21%,1.3257E+09,United States
3,facebook.com,Computers Electronics and Technology > Social Media Networks,1.5650E+10,4.81%,7.5277E+08,United States
4,instagram.com,Computers Electronics and Technology > Social Media Networks,6.8240E+09,9.95%,6.7899E+08,United States
5,globo.com,News & Media Publishers,6.9830E+08,94.21%,6.5787E+08,Brazil
6,whatsapp.com,Computers Electronics and Technology > Social Media Networks,2.9830E+09,15.61%,4.6565E+08,United States
7,uol.com.br,News & Media Publishers,4.5170E+08,95.47%,4.3124E+08,Brazil
8,xvideos.com,Adult,2.3760E+09,13.44%,3.1933E+08,Czech Republic
9,google.com.br,Computers Electronics and Technology > Search Engines,5.3950E+08,52.83%,2.8502E+08,United States
10,mercadolivre.com.br,Ecommerce & Shopping > Marketplace,2.4710E+08,97.90%,2.4191E+08,Argentina
11,twitter.com,Computers Electronics and Technology > Social Media Networks,5.9730E+09,4.07%,2.4310E+08,United States
12,tiktok.com,Computers Electronics and Technology > Social Media Networks,2.2000E+09,8.83%,1.9426E+08,China
13,live.com,Computers Electronics and Technology > Email,1.8780E+09,9.85%,1.8498E+08,United States
14,caixa.gov.br,Finance > Banking Credit and Lending,1.7460E+08,98.75%,1.7242E+08,Brazil
15,amazon.com.br,Ecommerce & Shopping > Marketplace,1.7940E+08,96.99%,1.7400E+08,United States
16,acesso.gov.br,Law and Government > Government,1.5260E+08,98.76%,1.5071E+08,Brazil
17,wikipedia.org,Reference Materials > Dictionaries and Encyclopedias,4.2910E+09,3.00%,1.2873E+08,United States
18,sp.gov.br,Law and Government > Government,1.1300E+08,98.03%,1.1077E+08,Brazil
19,pinterest.com,Computers Electronics and Technology > Social Media Networks,1.2220E+09,9.06%,1.1071E+08,United States
20,terra.com.br,News & Media Publishers,1.0550E+08,97.03%,1.0237E+08,Spain
21,planostim.co,Unknown,9.7530E+07,98.63%,9.6194E+07,
22,gov.br,Law and Government > Government,9.9910E+07,91.78%,9.1697E+07,Brazil
23,olx.com.br,Ecommerce & Shopping > Classifieds,9.6970E+07,98.51%,9.5525E+07,South Africa
24,shopee.com.br,Ecommerce & Shopping > Marketplace,9.0690E+07,98.12%,8.8985E+07,Singapore
25,linkedin.com,Computers Electronics and Technology > Social Media Networks,1.8500E+09,5.16%,9.5460E+07,United States
26,magazineluiza.com.br,Ecommerce & Shopping > Marketplace,9.3000E+07,98.12%,9.1252E+07,Brazil
27,metropoles.com,News & Media Publishers,8.5190E+07,97.24%,8.2839E+07,Brazil
28,yahoo.com,Reference Materials > Reference Materials - Other,3.3800E+09,2.40%,8.1120E+07,United States
29,cnnbrasil.com.br,News & Media Publishers,8.2460E+07,97.71%,8.0572E+07,Brazil
30,correios.com.br,Law and Government > Government,7.9710E+07,98.39%,7.8427E+07,Brazil
31,netflix.com,Arts & Entertainment > Streaming & Online TV,1.6120E+09,5.08%,8.1890E+07,United States
32,bet7k.com,Gambling > Sports Betting,6.0840E+07,93.60%,5.6946E+07,
33,kwai.com,Computers Electronics and Technology > Social Media Networks,1.0290E+08,64.48%,6.6350E+07,China
34,office.com,Computers Electronics and Technology > Programming and Developer Software,1.5800E+09,3.85%,6.0830E+07,United States
35,microsoft.com,Computers Electronics and Technology > Programming and Developer Software,1.0760E+09,5.75%,6.1870E+07,United States
36,openai.com,Computers Electronics and Technology > Computers Electronics and Technology - Other,1.7730E+09,2.50%,4.4325E+07,United States
37,hkdintl.com,Unknown,3.2390E+07,95.10%,3.0803E+07,
38,abril.com.br,News & Media Publishers,5.6080E+07,96.26%,5.3983E+07,Brazil
39,letras.mus.br,Arts & Entertainment > Music,5.9010E+07,93.15%,5.4968E+07,Brazil
40,fatalmodel.com,Adult,5.3370E+07,98.99%,5.2831E+07,Brazil
41,canva.com,Computers Electronics and Technology > Graphics Multimedia and Web Design,5.6030E+08,9.04%,5.0651E+07,Australia
42,xnxx.com,Adult,1.8720E+09,2.75%,5.1480E+07,Czech Republic
43,noticias.uol.com.br,News & Media Publishers,5.4580E+07,93.96%,5.1283E+07,Brazil
44,fazenda.gov.br,Law and Government > Government,4.8290E+07,98.31%,4.7474E+07,Brazil
45,microsoftonline.com,Computers Electronics and Technology > Programming and Developer Software,1.3610E+09,3.53%,4.8043E+07,United States
46,vivo.com.br,Computers Electronics and Technology > Telecommunications,5.0340E+07,96.89%,4.8774E+07,Spain
47,aliexpress.com,Ecommerce & Shopping > Marketplace,4.9820E+08,8.75%,4.3593E+07,China
48,hotmart.com,Computers Electronics and Technology > Computers Electronics and Technology - Other,6.8400E+07,72.12%,4.9330E+07,Brazil
49,jusbrasil.com.br,Law and Government > Legal,4.3350E+07,97.78%,4.2388E+07,
50,pn.vg,Law and Government > Government,4.7740E+07,97.80%,4.6690E+07,
