domain,description,industry_url,period_start,period_end,in_list,industry_rank,global_rank,redirects,monthly_visits,unique_visitors,visits_per_visitor,visit_duration,pages_per_visit,bounce_rate,page_views
google.com,Main domain,https://pro.similarweb.com/#/industry/topsites/Computers_Electronics_and_Technology~Computers_Electronics_and_Technology/76/1m,2023-10,2023-12,1,1,1,0,85.02B,N/A,N/A,00:10:40,8.67,28.25%,736.8B
ads.google.com,Google Ads site for advertisers,,2023-10,2023-12,0,,,0,60.70M,N/A,N/A,00:10:00,9.16,30.26%,555.8M
adsense.google.com,Google AdSense for publishers,,2023-10,2023-12,0,,,0,9.451M,N/A,N/A,00:01:18,1.91,68.66%,18.02M
analytics.google.com,Google Analytics,,2023-10,2023-12,0,,,0,40.46M,N/A,N/A,00:06:21,6.14,32.42%,248.4M
answers.google.com,Retired Google Answers site,https://pro.similarweb.com/#/industry/topsites/Science_and_Education~Science_and_Education/840/1m,2023-10,2023-12,0,"1,249","370,203",0,"196,393",N/A,N/A,00:00:05,1.24,84.11%,"243,417"
apps.google.com,Google Workspace,,2023-10,2023-12,0,,,1,9.080M,N/A,N/A,00:00:54,1.63,56.27%,14.77M
artsandculture.google.com,Google Arts & Culture,,2023-10,2023-12,0,,,0,9.095M,N/A,N/A,00:02:12,6.6,47.07%,60.06M
blog.google.com,,,2023-10,2023-12,0,,,0,"< 5,000",N/A,N/A,N/A,1.03,97.87%,"< 5,000"
books.google.com,Google textbook search,,2023-10,2023-12,0,,,0,31.84M,N/A,N/A,00:01:38,1.8,70.09%,57.45M
calendar.google.com,Google Calendar,,2023-10,2023-12,0,,,0,1.118B,N/A,N/A,00:06:12,5.21,40.08%,5.830B
chat.google.com,Google Chat,,2023-10,2023-12,0,,,1,2.174M,N/A,N/A,00:01:25,1.85,59.42%,4.019M
chrome.google.com,Google Chrome browser,,2023-10,2023-12,0,,,1,157.3M,N/A,N/A,00:02:02,3.24,42.57%,509.8M
clients1.google.com,,,2023-10,2023-12,0,,,1,"28,672",N/A,N/A,00:00:11,1.19,88.44%,"34,033"
clients2.google.com,,,2023-10,2023-12,0,,,1,"35,121",N/A,N/A,00:01:02,1.7,65.06%,"59,766"
clients3.google.com,,,2023-10,2023-12,0,,,1,14.60M,N/A,N/A,00:00:34,1.16,86.77%,16.88M
clients4.google.com,,,2023-10,2023-12,0,,,1,"27,309",N/A,N/A,00:00:02,1.17,81.99%,"31,937"
clients5.google.com,,,2023-10,2023-12,0,,,1,"326,204",N/A,N/A,00:00:01,1.14,88.11%,"370,974"
cloud.google.com,Google Cloud Computing services,https://pro.similarweb.com/#/industry/topsites/Computers_Electronics_and_Technology~Programming_and_Developer_Software/840/1m,2023-10,2023-12,1,34,"1,188",0,32.71M,N/A,N/A,00:07:49,8.57,39.68%,280.4M
code.google.com,Google Code archive site for developers,,2023-10,2023-12,0,,,0,1.480M,N/A,N/A,00:00:58,2.26,51.70%,3.343M
contacts.google.com,Google Contacts,,2023-10,2023-12,0,,,0,53.08M,N/A,N/A,00:04:51,4.94,34.86%,262.1M
crowdsource.google.com,Google Crowdsource,,2023-10,2023-12,0,,,0,2.161M,N/A,N/A,00:00:37,2.06,55.63%,4.460M
datacompute.google.com,Google Data Compute,,2023-10,2023-12,0,,,0,"373,557",N/A,N/A,00:11:47,7.2,51.93%,2.689M
developers.google.com,Google Developers site,,2023-10,2023-12,0,,,0,18.74M,N/A,N/A,00:02:56,2.75,60.06%,51.62M
docs.google.com,Google Docs,,2023-10,2023-12,0,,,0,5.539B,N/A,N/A,00:09:13,8.26,30.92%,45.76B
drive.google.com,Google Drive,,2023-10,2023-12,0,,,0,2.534B,N/A,N/A,00:05:38,5.34,29.41%,13.53B
duo.google.com,Google Duo,,2023-10,2023-12,0,,,1,1.872M,N/A,N/A,00:01:13,1.79,68.41%,3.358M
earth.google.com,Google Earth,,2023-10,2023-12,0,,,0,28.38M,N/A,N/A,00:09:13,70.2,10.00%,1.992B
edu.google.com,Google Education site,,2023-10,2023-12,0,,,0,14.95M,N/A,N/A,00:02:02,1.85,62.63%,27.74M
families.google,,https://pro.similarweb.com/#/industry/topsites/Computers_Electronics_and_Technology~Email/840/1m,2023-10,2023-12,1,27,"10,107",0,8.708M,N/A,N/A,00:01:04,1.58,70.54%,13.73M
families.google.com,,,2023-10,2023-12,0,,,1,6.710M,N/A,N/A,00:02:10,2.69,46.90%,18.03M
